u,l,kappa,delta,seed,k,n,normal_gaps_json,paper_boundary,direct_threshold,detected_at_90pct_boundary,assumption_4_2
2.0,0.5,4.0,1.5,1,7,12,"[1.6665975774631847, 1.3541023052136567, 1.338727062502961, 0.5, 0.669433363522567, 0.8772626405466394, 1.6776016923948234, 0.6512207744008881, 2.0, 1.7101706295398769]",6.5,1.79531786979956,True,True
2.0,0.5,4.0,1.5,2,1,12,"[1.3467140423858948, 0.8637502872419633, 2.0, 1.4465306803986289, 0.8948130705723919, 0.5, 1.8610510769787993, 0.7966118588531852, 1.2972347973017957, 0.7734642044554042]",2.0,1.4465306803986293,True,True
2.0,0.5,4.0,1.5,2,3,12,"[1.3467140423858948, 0.8637502872419633, 2.0, 1.4465306803986289, 0.8948130705723919, 0.5, 1.8610510769787993, 0.7966118588531852, 1.2972347973017957, 0.7734642044554042]",3.5,0.7435653531186326,True,True
2.0,0.5,4.0,1.5,2,5,12,"[1.3467140423858948, 0.8637502872419633, 2.0, 1.4465306803986289, 0.8948130705723919, 0.5, 1.8610510769787993, 0.7966118588531852, 1.2972347973017957, 0.7734642044554042]",5.0,0.4487120460666518,True,True
2.0,0.5,4.0,1.5,2,7,12,"[1.3467140423858948, 0.8637502872419633, 2.0, 1.4465306803986289, 0.8948130705723919, 0.5, 1.8610510769787993, 0.7966118588531852, 1.2972347973017957, 0.7734642044554042]",6.5,0.333260680836755,True,True
2.0,0.5,4.0,1.5,3,1,12,"[0.5, 1.5325603350498767, 2.0, 1.443040563410046, 0.6311269520495446, 0.817604404614037, 0.8258357187697339, 0.5303635335082201, 1.3848584684041587, 1.0918035811317146]",2.0,1.532560335049877,True,True
2.0,0.5,4.0,1.5,3,3,12,"[0.5, 1.5325603350498767, 2.0, 1.443040563410046, 0.6311269520495446, 0.817604404614037, 0.8258357187697339, 0.5303635335082201, 1.3848584684041587, 1.0918035811317146]",3.5,1.3476436262206017,True,True
2.0,0.5,4.0,1.5,3,5,12,"[0.5, 1.5325603350498767, 2.0, 1.443040563410046, 0.6311269520495446, 0.817604404614037, 0.8258357187697339, 0.5303635335082201, 1.3848584684041587, 1.0918035811317146]",5.0,0.6036193306787391,True,True
2.0,0.5,4.0,1.5,3,7,12,"[0.5, 1.5325603350498767, 2.0, 1.443040563410046, 0.6311269520495446, 0.817604404614037, 0.8258357187697339, 0.5303635335082201, 1.3848584684041587, 1.0918035811317146]",6.5,0.2847517754465121,True,True
2.0,0.25,8.0,1.75,0,1,12,"[1.2967561167404407, 2.0, 0.36807295366474896, 1.3842467570205093, 0.48718617369409933, 0.9095111143797282, 0.8493815371633353, 0.25, 0.4980639185531619, 0.26767510661383176]",2.0,1.296756116740441,True,True
2.0,0.25,8.0,1.75,0,3,12,"[1.2967561167404407, 2.0, 0.36807295366474896, 1.3842467570205093, 0.48718617369409933, 0.9095111143797282, 0.8493815371633353, 0.25, 0.4980639185531619, 0.26767510661383176]",3.75,2.2204460642429617e-16,True,True
2.0,0.25,8.0,1.75,0,5,12,"[1.2967561167404407, 2.0, 0.36807295366474896, 1.3842467570205093, 0.48718617369409933, 0.9095111143797282, 0.8493815371633353, 0.25, 0.4980639185531619, 0.26767510661383176]",5.5,2.220446092677295e-16,True,True
2.0,0.25,8.0,1.75,0,7,12,"[1.2967561167404407, 2.0, 0.36807295366474896, 1.3842467570205093, 0.48718617369409933, 0.9095111143797282, 0.8493815371633353, 0.25, 0.4980639185531619, 0.26767510661383176]",7.25,2.22044611594175e-16,True,True
2.0,0.25,8.0,1.75,1,1,12,"[1.5213569453178208, 1.1141975991426862, 1.095274726293637, 0.25, 0.38729869341276585, 0.5810044439966165, 1.5364494826584265, 0.3716014258841068, 2.0, 1.5814088596682874]",2.0,1.5814088596682867,True,True
2.0,0.25,8.0,1.75,1,3,12,"[1.5213569453178208, 1.1141975991426862, 1.095274726293637, 0.25, 0.38729869341276585, 0.5810044439966165, 1.5364494826584265, 0.3716014258841068, 2.0, 1.5814088596682874]",3.75,1.6529721717035464,True,True
2.0,0.25,8.0,1.75,1,5,12,"[1.5213569453178208, 1.1141975991426862, 1.095274726293637, 0.25, 0.38729869341276585, 0.5810044439966165, 1.5364494826584265, 0.3716014258841068, 2.0, 1.5814088596682874]",5.5,1.761436390804122,True,True
2.0,0.25,8.0,1.75,1,7,12,"[1.5213569453178208, 1.1141975991426862, 1.095274726293637, 0.25, 0.38729869341276585, 0.5810044439966165, 1.5364494826584265, 0.3716014258841068, 2.0, 1.5814088596682874]",7.25,1.8079210561329386,True,True
2.0,0.25,8.0,1.75,2,1,12,"[1.1050911096399099, 0.5676325734519236, 2.0, 1.2302021342514127, 0.5985266340690818, 0.25, 1.7952396892177467, 0.5027535583688004, 1.0447512196512767, 0.4810002825797739]",2.0,1.2302021342514131,True,True
2.0,0.25,8.0,1.75,2,3,12,"[1.1050911096399099, 0.5676325734519236, 2.0, 1.2302021342514127, 0.5985266340690818, 0.25, 1.7952396892177467, 0.5027535583688004, 1.0447512196512767, 0.4810002825797739]",3.75,0.7603720366133884,True,True
2.0,0.25,8.0,1.75,2,5,12,"[1.1050911096399099, 0.5676325734519236, 2.0, 1.2302021342514127, 0.5985266340690818, 0.25, 1.7952396892177467, 0.5027535583688004, 1.0447512196512767, 0.4810002825797739]",5.5,0.1158564103758102,True,True
2.0,0.25,8.0,1.75,2,7,12,"[1.1050911096399099, 0.5676325734519236, 2.0, 1.2302021342514127, 0.5985266340690818, 0.25, 1.7952396892177467, 0.5027535583688004, 1.0447512196512767, 0.4810002825797739]",7.25,4.440892156920257e-16,True,True
2.0,0.25,8.0,1.75,3,1,12,"[0.25, 1.341563932624351, 2.0, 1.2257525654639636, 0.35453579761160087, 0.5227569745481406, 0.5306711728795181, 0.27311495735718394, 1.1523730385362356, 0.8066808994558095]",2.0,1.3415639326243511,True,True
2.0,0.25,8.0,1.75,3,3,12,"[0.25, 1.341563932624351, 2.0, 1.2257525654639636, 0.35453579761160087, 0.5227569745481406, 0.5306711728795181, 0.27311495735718394, 1.1523730385362356, 0.8066808994558095]",3.75,1.0521132667242443,True,True
2.0,0.25,8.0,1.75,3,5,12,"[0.25, 1.341563932624351, 2.0, 1.2257525654639636, 0.35453579761160087, 0.5227569745481406, 0.5306711728795181, 0.27311495735718394, 1.1523730385362356, 0.8066808994558095]",5.5,0.15917929609314127,True,True
2.0,0.25,8.0,1.75,3,7,12,"[0.25, 1.341563932624351, 2.0, 1.2257525654639636, 0.35453579761160087, 0.5227569745481406, 0.5306711728795181, 0.27311495735718394, 1.1523730385362356, 0.8066808994558095]",7.25,4.440892156920257e-16,True,True
2.0,0.125,16.0,1.875,0,1,12,"[1.122365757925715, 2.0, 0.20936393701651226, 1.2244508426188145, 0.30426355893544327, 0.6994135077308461, 0.6384502924329755, 0.125, 0.31335510635487485, 0.1369201334894082]",2.0,1.1223657579257151,True,True
2.0,0.125,16.0,1.875,0,3,12,"[1.122365757925715, 2.0, 0.20936393701651226, 1.2244508426188145, 0.30426355893544327, 0.6994135077308461, 0.6384502924329755, 0.125, 0.31335510635487485, 0.1369201334894082]",3.875,5.551115158022465e-16,True,True
2.0,0.125,16.0,1.875,0,5,12,"[1.122365757925715, 2.0, 0.20936393701651226, 1.2244508426188145, 0.30426355893544327, 0.6994135077308461, 0.6384502924329755, 0.125, 0.31335510635487485, 0.1369201334894082]",5.75,6.661338200483703e-16,True,True
2.0,0.125,16.0,1.875,0,7,12,"[1.122365757925715, 2.0, 0.20936393701651226, 1.2244508426188145, 0.30426355893544327, 0.6994135077308461, 0.6384502924329755, 0.125, 0.31335510635487485, 0.1369201334894082]",7.625,1.1102230256591323e-15,True,True
2.0,0.125,16.0,1.875,1,1,12,"[1.3887737426030782, 0.9167965264924696, 0.8960950739389033, 0.125, 0.22407051409856865, 0.38479487024943115, 1.4071737191629878, 0.2120442485056462, 2.0, 1.4623417910704093]",2.0,1.4623417910704097,True,True
2.0,0.125,16.0,1.875,1,3,12,"[1.3887737426030782, 0.9167965264924696, 0.8960950739389033, 0.125, 0.22407051409856865, 0.38479487024943115, 1.4071737191629878, 0.2120442485056462, 2.0, 1.4623417910704093]",3.875,1.6349085366727505,True,True
2.0,0.125,16.0,1.875,1,5,12,"[1.3887737426030782, 0.9167965264924696, 0.8960950739389033, 0.125, 0.22407051409856865, 0.38479487024943115, 1.4071737191629878, 0.2120442485056462, 2.0, 1.4623417910704093]",5.75,1.7848618623353738,True,True
2.0,0.125,16.0,1.875,1,7,12,"[1.3887737426030782, 0.9167965264924696, 0.8960950739389033, 0.125, 0.22407051409856865, 0.38479487024943115, 1.4071737191629878, 0.2120442485056462, 2.0, 1.4623417910704093]",7.625,1.8491275733336408,True,True
2.0,0.125,16.0,1.875,2,1,12,"[0.9068193559796788, 0.37303227935528704, 2.0, 1.0462255046672602, 0.4003452156335962, 0.125, 1.7317555555619746, 0.31729522683276357, 0.8414090596653154, 0.29912343778691564]",2.0,1.0462255046672608,True,True
2.0,0.125,16.0,1.875,2,3,12,"[0.9068193559796788, 0.37303227935528704, 2.0, 1.0462255046672602, 0.4003452156335962, 0.125, 1.7317555555619746, 0.31729522683276357, 0.8414090596653154, 0.29912343778691564]",3.875,0.6258986513181101,True,True
2.0,0.125,16.0,1.875,2,5,12,"[0.9068193559796788, 0.37303227935528704, 2.0, 1.0462255046672602, 0.4003452156335962, 0.125, 1.7317555555619746, 0.31729522683276357, 0.8414090596653154, 0.29912343778691564]",5.75,1.665334579847729e-16,True,True
2.0,0.125,16.0,1.875,2,7,12,"[0.9068193559796788, 0.37303227935528704, 2.0, 1.0462255046672602, 0.4003452156335962, 0.125, 1.7317555555619746, 0.31729522683276357, 0.8414090596653154, 0.29912343778691564]",7.625,1.6653345384886985e-16,True,True
2.0,0.125,16.0,1.875,3,1,12,"[0.125, 1.174370590284095, 2.0, 1.0411830338233918, 0.1991606148016741, 0.33423848122213695, 0.3410023171979616, 0.14064273883766243, 0.9589164887553562, 0.5960175298860183]",2.0,1.1743705902840953,True,True
2.0,0.125,16.0,1.875,3,3,12,"[0.125, 1.174370590284095, 2.0, 1.0411830338233918, 0.1991606148016741, 0.33423848122213695, 0.3410023171979616, 0.14064273883766243, 0.9589164887553562, 0.5960175298860183]",3.875,1.016456863428032,True,True
2.0,0.125,16.0,1.875,3,5,12,"[0.125, 1.174370590284095, 2.0, 1.0411830338233918, 0.1991606148016741, 0.33423848122213695, 0.3410023171979616, 0.14064273883766243, 0.9589164887553562, 0.5960175298860183]",5.75,1.8041124367293705e-16,True,True
2.0,0.125,16.0,1.875,3,7,12,"[0.125, 1.174370590284095, 2.0, 1.0411830338233918, 0.1991606148016741, 0.33423848122213695, 0.3410023171979616, 0.14064273883766243, 0.9589164887553562, 0.5960175298860183]",7.625,1.804112456116416e-16,True,True
