u,l,kappa,delta,seed,k,n,normal_gaps_json,paper_boundary,direct_threshold,detected_at_90pct_boundary,assumption_4_2
0.5,0.0625,8.0,0.4375,1,7,12,"[0.3803392363294552, 0.27854939978567156, 0.2738186815734093, 0.0625, 0.09682467335319146, 0.14525111099915414, 0.38411237066460663, 0.0929003564710267, 0.5, 0.39535221491707184]",1.8125,0.45198026403323466,True,True
0.5,0.0625,8.0,0.4375,2,1,12,"[0.27627277740997747, 0.1419081433629809, 0.5, 0.30755053356285317, 0.14963165851727045, 0.0625, 0.44880992230443667, 0.1256883895922001, 0.2611878049128192, 0.12025007064494347]",0.5,0.3075505335628533,True,True
0.5,0.0625,8.0,0.4375,2,3,12,"[0.27627277740997747, 0.1419081433629809, 0.5, 0.30755053356285317, 0.14963165851727045, 0.0625, 0.44880992230443667, 0.1256883895922001, 0.2611878049128192, 0.12025007064494347]",0.9375,0.1900930091533471,True,True
0.5,0.0625,8.0,0.4375,2,5,12,"[0.27627277740997747, 0.1419081433629809, 0.5, 0.30755053356285317, 0.14963165851727045, 0.0625, 0.44880992230443667, 0.1256883895922001, 0.2611878049128192, 0.12025007064494347]",1.375,0.02896410259395255,True,True
0.5,0.0625,8.0,0.4375,2,7,12,"[0.27627277740997747, 0.1419081433629809, 0.5, 0.30755053356285317, 0.14963165851727045, 0.0625, 0.44880992230443667, 0.1256883895922001, 0.2611878049128192, 0.12025007064494347]",1.8125,1.1102230392300642e-16,True,True
0.5,0.0625,8.0,0.4375,3,1,12,"[0.0625, 0.33539098315608773, 0.5, 0.3064381413659909, 0.08863394940290022, 0.13068924363703516, 0.13266779321987954, 0.06827873933929599, 0.2880932596340589, 0.20167022486395236]",0.5,0.3353909831560878,True,True
0.5,0.0625,8.0,0.4375,3,3,12,"[0.0625, 0.33539098315608773, 0.5, 0.3064381413659909, 0.08863394940290022, 0.13068924363703516, 0.13266779321987954, 0.06827873933929599, 0.2880932596340589, 0.20167022486395236]",0.9375,0.2630283166810611,True,True
0.5,0.0625,8.0,0.4375,3,5,12,"[0.0625, 0.33539098315608773, 0.5, 0.3064381413659909, 0.08863394940290022, 0.13068924363703516, 0.13266779321987954, 0.06827873933929599, 0.2880932596340589, 0.20167022486395236]",1.375,0.03979482402328532,True,True
0.5,0.0625,8.0,0.4375,3,7,12,"[0.0625, 0.33539098315608773, 0.5, 0.3064381413659909, 0.08863394940290022, 0.13068924363703516, 0.13266779321987954, 0.06827873933929599, 0.2880932596340589, 0.20167022486395236]",1.8125,1.1102230392300642e-16,True,True
0.5,0.03125,16.0,0.46875,0,1,12,"[0.28059143948142873, 0.5, 0.052340984254128066, 0.30611271065470363, 0.07606588973386082, 0.17485337693271152, 0.15961257310824387, 0.03125, 0.07833877658871871, 0.03423003337235205]",0.5,0.2805914394814288,True,True
0.5,0.03125,16.0,0.46875,0,3,12,"[0.28059143948142873, 0.5, 0.052340984254128066, 0.30611271065470363, 0.07606588973386082, 0.17485337693271152, 0.15961257310824387, 0.03125, 0.07833877658871871, 0.03423003337235205]",0.96875,1.3877787895056162e-16,True,True
0.5,0.03125,16.0,0.46875,0,5,12,"[0.28059143948142873, 0.5, 0.052340984254128066, 0.30611271065470363, 0.07606588973386082, 0.17485337693271152, 0.15961257310824387, 0.03125, 0.07833877658871871, 0.03423003337235205]",1.4375,1.6653345501209258e-16,True,True
0.5,0.03125,16.0,0.46875,0,7,12,"[0.28059143948142873, 0.5, 0.052340984254128066, 0.30611271065470363, 0.07606588973386082, 0.17485337693271152, 0.15961257310824387, 0.03125, 0.07833877658871871, 0.03423003337235205]",1.90625,2.775557564147831e-16,True,True
0.5,0.03125,16.0,0.46875,1,1,12,"[0.34719343565076954, 0.2291991316231174, 0.22402376848472583, 0.03125, 0.05601762852464216, 0.09619871756235779, 0.35179342979074696, 0.05301106212641155, 0.5, 0.3655854477676023]",0.5,0.36558544776760243,True,True
0.5,0.03125,16.0,0.46875,1,3,12,"[0.34719343565076954, 0.2291991316231174, 0.22402376848472583, 0.03125, 0.05601762852464216, 0.09619871756235779, 0.35179342979074696, 0.05301106212641155, 0.5, 0.3655854477676023]",0.96875,0.4087271341681876,True,True
0.5,0.03125,16.0,0.46875,1,5,12,"[0.34719343565076954, 0.2291991316231174, 0.22402376848472583, 0.03125, 0.05601762852464216, 0.09619871756235779, 0.35179342979074696, 0.05301106212641155, 0.5, 0.3655854477676023]",1.4375,0.44621546558384345,True,True
0.5,0.03125,16.0,0.46875,1,7,12,"[0.34719343565076954, 0.2291991316231174, 0.22402376848472583, 0.03125, 0.05601762852464216, 0.09619871756235779, 0.35179342979074696, 0.05301106212641155, 0.5, 0.3655854477676023]",1.90625,0.4622818933334102,True,True
0.5,0.03125,16.0,0.46875,2,1,12,"[0.2267048389949197, 0.09325806983882176, 0.5, 0.26155637616681504, 0.10008630390839905, 0.03125, 0.43293888889049364, 0.07932380670819089, 0.21035226491632886, 0.07478085944672891]",0.5,0.2615563761668152,True,True
0.5,0.03125,16.0,0.46875,2,3,12,"[0.2267048389949197, 0.09325806983882176, 0.5, 0.26155637616681504, 0.10008630390839905, 0.03125, 0.43293888889049364, 0.07932380670819089, 0.21035226491632886, 0.07478085944672891]",0.96875,0.15647466282952752,True,True
0.5,0.03125,16.0,0.46875,2,5,12,"[0.2267048389949197, 0.09325806983882176, 0.5, 0.26155637616681504, 0.10008630390839905, 0.03125, 0.43293888889049364, 0.07932380670819089, 0.21035226491632886, 0.07478085944672891]",1.4375,4.163336449619323e-17,True,True
0.5,0.03125,16.0,0.46875,2,7,12,"[0.2267048389949197, 0.09325806983882176, 0.5, 0.26155637616681504, 0.10008630390839905, 0.03125, 0.43293888889049364, 0.07932380670819089, 0.21035226491632886, 0.07478085944672891]",1.90625,4.163336346221746e-17,True,True
0.5,0.03125,16.0,0.46875,3,1,12,"[0.03125, 0.29359264757102377, 0.5, 0.26029575845584796, 0.049790153700418525, 0.08355962030553424, 0.0852505792994904, 0.03516068470941561, 0.23972912218883904, 0.14900438247150458]",0.5,0.2935926475710238,True,True
0.5,0.03125,16.0,0.46875,3,3,12,"[0.03125, 0.29359264757102377, 0.5, 0.26029575845584796, 0.049790153700418525, 0.08355962030553424, 0.0852505792994904, 0.03516068470941561, 0.23972912218883904, 0.14900438247150458]",0.96875,0.254114215857008,True,True
0.5,0.03125,16.0,0.46875,3,5,12,"[0.03125, 0.29359264757102377, 0.5, 0.26029575845584796, 0.049790153700418525, 0.08355962030553424, 0.0852505792994904, 0.03516068470941561, 0.23972912218883904, 0.14900438247150458]",1.4375,4.510281091823426e-17,True,True
0.5,0.03125,16.0,0.46875,3,7,12,"[0.03125, 0.29359264757102377, 0.5, 0.26029575845584796, 0.049790153700418525, 0.08355962030553424, 0.0852505792994904, 0.03516068470941561, 0.23972912218883904, 0.14900438247150458]",1.90625,4.51028114029104e-17,True,True
1.0,0.25,4.0,0.75,0,1,12,"[0.7491214046887577, 1.0, 0.323545929518911, 0.7824483505698042, 0.39004074077937245, 0.5913600881573113, 0.565000129395107, 0.25, 0.39582515480630764, 0.2616487468815857]",1.0,0.7491214046887578,True,True
1.0,0.25,4.0,0.75,0,3,12,"[0.7491214046887577, 1.0, 0.323545929518911, 0.7824483505698042, 0.39004074077937245, 0.5913600881573113, 0.565000129395107, 0.25, 0.39582515480630764, 0.2616487468815857]",1.75,1.1102230308290111e-16,True,True
1.0,0.25,4.0,0.75,0,5,12,"[0.7491214046887577, 1.0, 0.323545929518911, 0.7824483505698042, 0.39004074077937245, 0.5913600881573113, 0.565000129395107, 0.25, 0.39582515480630764, 0.2616487468815857]",2.5,2.2204460513182646e-16,True,True
1.0,0.25,4.0,0.75,0,7,12,"[0.7491214046887577, 1.0, 0.323545929518911, 0.7824483505698042, 0.39004074077937245, 0.5913600881573113, 0.565000129395107, 0.25, 0.39582515480630764, 0.2616487468815857]",3.25,2.775557564147831e-16,True,True
1.0,0.25,4.0,0.75,1,1,12,"[0.8332987887315924, 0.6770511526068284, 0.6693635312514805, 0.25, 0.3347166817612835, 0.4386313202733197, 0.8388008461974117, 0.32561038720044405, 1.0, 0.8550853147699384]",1.0,0.8550853147699381,True,True
1.0,0.25,4.0,0.75,1,3,12,"[0.8332987887315924, 0.6770511526068284, 0.6693635312514805, 0.25, 0.3347166817612835, 0.4386313202733197, 0.8388008461974117, 0.32561038720044405, 1.0, 0.8550853147699384]",1.75,0.8490725338134154,True,True
1.0,0.25,4.0,0.75,1,5,12,"[0.8332987887315924, 0.6770511526068284, 0.6693635312514805, 0.25, 0.3347166817612835, 0.4386313202733197, 0.8388008461974117, 0.32561038720044405, 1.0, 0.8550853147699384]",2.5,0.8830830145738705,True,True
1.0,0.25,4.0,0.75,1,7,12,"[0.8332987887315924, 0.6770511526068284, 0.6693635312514805, 0.25, 0.3347166817612835, 0.4386313202733197, 0.8388008461974117, 0.32561038720044405, 1.0, 0.8550853147699384]",3.25,0.89765893489978,True,True
1.0,0.25,4.0,0.75,2,1,12,"[0.6733570211929474, 0.43187514362098167, 1.0, 0.7232653401993144, 0.44740653528619595, 0.25, 0.9305255384893997, 0.3983059294265926, 0.6486173986508978, 0.3867321022277021]",1.0,0.7232653401993147,True,True
1.0,0.25,4.0,0.75,2,3,12,"[0.6733570211929474, 0.43187514362098167, 1.0, 0.7232653401993144, 0.44740653528619595, 0.25, 0.9305255384893997, 0.3983059294265926, 0.6486173986508978, 0.3867321022277021]",1.75,0.3717826765593163,True,True
1.0,0.25,4.0,0.75,2,5,12,"[0.6733570211929474, 0.43187514362098167, 1.0, 0.7232653401993144, 0.44740653528619595, 0.25, 0.9305255384893997, 0.3983059294265926, 0.6486173986508978, 0.3867321022277021]",2.5,0.2243560230333259,True,True
