seed,depth,knn,local_gap,boundary
0,5.348253502889259,0.0522940910791744,0.020505771728541337,0.024436860784074768
0,5.0017363602797635,0.0522940910791744,0.0474526507028554,0.05168984390766736
0,6.273467095123154,0.04664278277250211,0.036931883312705575,0.11934216218978556
0,6.522252402482976,0.04415820343518494,0.01444831250327263,0.1255536105330785
0,6.443711446602006,0.04415820343518494,0.019671499528304368,0.14823878719633082
0,6.301951136513878,0.047778303044514775,0.028001224912053604,0.16489660958968724
0,5.825870261568486,0.0613449257503471,0.04899580947097813,0.20424123702043803
0,6.629106315925746,0.04559950707104594,0.037021466749156254,0.2628882285316435
0,7.200183916591721,0.03627363699548686,0.015368080647469307,0.27828417051875054
0,7.152994519061245,0.030137549272354226,0.021219838152283732,0.2936243898265821
0,7.654072308428306,0.029598177496009126,0.017323330487682725,0.320723846823318
0,7.997384401903848,0.029598177496009126,0.007882895395081857,0.3282710508019476
0,7.517060743803445,0.03189812643926996,0.023795777715659716,0.3364896376134817
0,7.383050759902744,0.029907516938269253,0.026634019093983524,0.375862606233267
0,7.987521919512534,0.02211902622605767,0.013266350140178546,0.38975767580144877
0,8.728270969316377,0.017063973941187537,0.008572617456904463,0.4023953065136241
0,8.905658417148992,0.017063973941187537,0.00608192073033717,0.4069029107152577
0,8.403940185218078,0.017354367482610277,0.012485244424731867,0.41455914797429844
0,8.345554364814866,0.01986325938236644,0.012418017465031822,0.4318733995647214
0,8.422572353802988,0.02189617122554145,0.01001584004060374,0.4393951829043621
0,7.967108503808438,0.02680108034646318,0.016060434463665868,0.4519050796459289
0,7.579450879728388,0.029007799014143652,0.022253460526073104,0.4715160518316938
0,8.270732568749496,0.022202020835409265,0.015385540063429431,0.4964120006980751
0,8.679616085295827,0.019851968331218238,0.00637208804900008,0.4977128680414473
0,8.339728384037194,0.019851968331218238,0.012415499332346702,0.4908438232039247
0,8.226738149468382,0.021512539893843986,0.012022270964508086,0.4728818693767539
0,8.135112213422621,0.02394557513458213,0.01399051447516969,0.46679928127490855
0,7.542445011764855,0.030004307349616212,0.019633046146964317,0.44490084042641453
0,7.428504470151978,0.029365426716879493,0.020155640184450818,0.4275331889809799
0,8.018894576893274,0.029365426716879493,0.012547741844738391,0.4045895600575129
0,8.022722347857322,0.030226168623283402,0.0096053241543117,0.40243770529150313
0,6.760043079143114,0.04047807184046259,0.04075175249203705,0.3853789117488895
0,6.402140336844092,0.05279597274976737,0.045078661887427374,0.32093420030742903
0,7.197530045058653,0.03697561475306734,0.018536336941127995,0.29522158797403475
0,7.302654805696101,0.03243159013352266,0.017073977445226873,0.28386152642517304
0,7.177425858205534,0.031797764775050294,0.019908312492811053,0.261073633083581
0,7.399009142360878,0.03130767561870178,0.014166401783844706,0.24404490143955093
0,7.171322890958116,0.03130767561870178,0.019831354393728073,0.2327408295158916
0,7.0437012040996105,0.03155475087333144,0.018711084414540946,0.20438219265209479
0,7.093894001209891,0.03518016365944547,0.011998718159316468,0.1953186606868097
0,6.248916464553556,0.04606520655254569,0.045156189077788345,0.18038475633346185
0,6.013244809148995,0.03939670387893124,0.04195575985844663,0.10500628253123301
0,6.247518237026576,0.035983485513065475,0.015448411634128578,0.09647323661656859
0,6.729260208483114,0.028440034704436103,0.012387622836253331,0.07410945926297585
0,6.742102454968384,0.028440034704436103,0.008985030777038772,0.07169799094406193
