method,u,l,kappa,delta,k,seed,n,normal_gaps_json,paper_boundary,direct_threshold,threshold_to_boundary,assumption_4_2,detected_below_boundary,detected_above_boundary
knn,1.0,0.125,8.0,0.875,3,2,12,"[0.43999597901508686, 0.2557148078398305, 0.1761119342297016, 1.0, 0.39604151982830993, 0.6490312862038747, 0.14232433972755693, 0.125, 0.33412106605542313, 0.9544410040788316]",1.875,0.8402861261591119,0.448152600618193,True,True,True
knn,1.0,0.125,8.0,0.875,5,2,12,"[0.43999597901508686, 0.2557148078398305, 0.1761119342297016, 1.0, 0.39604151982830993, 0.6490312862038747, 0.14232433972755693, 0.125, 0.33412106605542313, 0.9544410040788316]",2.75,0.7076034084471192,0.257310330344407,True,True,True
knn,1.0,0.125,8.0,0.875,7,2,12,"[0.43999597901508686, 0.2557148078398305, 0.1761119342297016, 1.0, 0.39604151982830993, 0.6490312862038747, 0.14232433972755693, 0.125, 0.33412106605542313, 0.9544410040788316]",3.625,0.6507393865705507,0.17951431353670366,True,True,True
iforest,1.0,0.125,8.0,0.875,0,3,12,"[0.17415685198867842, 0.6578714820060879, 1.0, 0.4660548406237034, 0.125, 0.4450743347852695, 0.17313020162934328, 0.21180755122584122, 0.12585564873407332, 0.5256835912885194]",8.0,0.43590784221110246,0.05448848027638781,True,True,True
knn,1.0,0.125,8.0,0.875,1,3,12,"[0.17415685198867842, 0.6578714820060879, 1.0, 0.4660548406237034, 0.125, 0.4450743347852695, 0.17313020162934328, 0.21180755122584122, 0.12585564873407332, 0.5256835912885194]",1.0,0.6578714820060879,0.6578714820060879,True,True,True
knn,1.0,0.125,8.0,0.875,3,3,12,"[0.17415685198867842, 0.6578714820060879, 1.0, 0.4660548406237034, 0.125, 0.4450743347852695, 0.17313020162934328, 0.21180755122584122, 0.12585564873407332, 0.5256835912885194]",1.875,0.49457154333913655,0.26377148978087284,True,True,True
knn,1.0,0.125,8.0,0.875,5,3,12,"[0.17415685198867842, 0.6578714820060879, 1.0, 0.4660548406237034, 0.125, 0.4450743347852695, 0.17313020162934328, 0.21180755122584122, 0.12585564873407332, 0.5256835912885194]",2.75,1.526556681607057e-16,5.551115205843844e-17,True,True,True
knn,1.0,0.125,8.0,0.875,7,3,12,"[0.17415685198867842, 0.6578714820060879, 1.0, 0.4660548406237034, 0.125, 0.4450743347852695, 0.17313020162934328, 0.21180755122584122, 0.12585564873407332, 0.5256835912885194]",3.625,1.526556690654345e-16,4.211190870770607e-17,True,True,True
iforest,1.0,0.125,8.0,0.875,0,4,12,"[0.3884423336414245, 0.8094569953545047, 0.19451675412351876, 0.6127555204624671, 1.0, 0.3474094686540302, 0.13218049889596922, 0.125, 0.1779327123551227, 0.35438990991558555]",8.0,0.267622797594696,0.033452849699337,True,True,True
knn,1.0,0.125,8.0,0.875,1,4,12,"[0.3884423336414245, 0.8094569953545047, 0.19451675412351876, 0.6127555204624671, 1.0, 0.3474094686540302, 0.13218049889596922, 0.125, 0.1779327123551227, 0.35438990991558555]",1.0,0.612755520462467,0.612755520462467,True,True,True
knn,1.0,0.125,8.0,0.875,3,4,12,"[0.3884423336414245, 0.8094569953545047, 0.19451675412351876, 0.6127555204624671, 1.0, 0.3474094686540302, 0.13218049889596922, 0.125, 0.1779327123551227, 0.35438990991558555]",1.875,0.27789537747036636,0.1482108679841954,True,True,True
knn,1.0,0.125,8.0,0.875,5,4,12,"[0.3884423336414245, 0.8094569953545047, 0.19451675412351876, 0.6127555204624671, 1.0, 0.3474094686540302, 0.13218049889596922, 0.125, 0.1779327123551227, 0.35438990991558555]",2.75,0.05261957638275317,0.019134391411910243,True,True,True
knn,1.0,0.125,8.0,0.875,7,4,12,"[0.3884423336414245, 0.8094569953545047, 0.19451675412351876, 0.6127555204624671, 1.0, 0.3474094686540302, 0.13218049889596922, 0.125, 0.1779327123551227, 0.35438990991558555]",3.625,1.110223057970875e-16,3.0626842978506896e-17,True,True,True
iforest,1.0,0.125,8.0,0.875,0,5,12,"[0.40696997616081265, 0.18912178362070792, 1.0, 0.48467369960914775, 0.3899952609929674, 0.7724254222464878, 0.41731400949923336, 0.24165954008417026, 0.125, 0.8470292427271644]",8.0,0.7952236073816961,0.09940295092271201,True,True,True
knn,1.0,0.125,8.0,0.875,1,5,12,"[0.40696997616081265, 0.18912178362070792, 1.0, 0.48467369960914775, 0.3899952609929674, 0.7724254222464878, 0.41731400949923336, 0.24165954008417026, 0.125, 0.8470292427271644]",1.0,0.8470292427271647,0.8470292427271647,True,True,True
knn,1.0,0.125,8.0,0.875,3,5,12,"[0.40696997616081265, 0.18912178362070792, 1.0, 0.48467369960914775, 0.3899952609929674, 0.7724254222464878, 0.41731400949923336, 0.24165954008417026, 0.125, 0.8470292427271644]",1.875,0.676561844107777,0.3608329835241477,True,True,True
knn,1.0,0.125,8.0,0.875,5,5,12,"[0.40696997616081265, 0.18912178362070792, 1.0, 0.48467369960914775, 0.3899952609929674, 0.7724254222464878, 0.41731400949923336, 0.24165954008417026, 0.125, 0.8470292427271644]",2.75,0.4774518640037529,0.17361885963772833,True,True,True
knn,1.0,0.125,8.0,0.875,7,5,12,"[0.40696997616081265, 0.18912178362070792, 1.0, 0.48467369960914775, 0.3899952609929674, 0.7724254222464878, 0.41731400949923336, 0.24165954008417026, 0.125, 0.8470292427271644]",3.625,0.39211901538774274,0.1081707628655842,True,True,True
iforest,1.0,0.125,8.0,0.875,0,6,12,"[0.2576582547181988, 0.22812606026564505, 0.3413180175344922, 0.5295976840588867, 0.26706886628814613, 1.0, 0.12778238736873807, 0.5540904680040618, 0.4636806830095284, 0.125]",8.0,0.217673521405603,0.027209190175700376,True,True,True
knn,1.0,0.125,8.0,0.875,1,6,12,"[0.2576582547181988, 0.22812606026564505, 0.3413180175344922, 0.5295976840588867, 0.26706886628814613, 1.0, 0.12778238736873807, 0.5540904680040618, 0.4636806830095284, 0.125]",1.0,0.46368068300952864,0.46368068300952864,True,True,True
knn,1.0,0.125,8.0,0.875,3,6,12,"[0.2576582547181988, 0.22812606026564505, 0.3413180175344922, 0.5295976840588867, 0.26706886628814613, 1.0, 0.12778238736873807, 0.5540904680040618, 0.4636806830095284, 0.125]",1.875,0.4400976156443789,0.23471872834366875,True,True,True
knn,1.0,0.125,8.0,0.875,5,6,12,"[0.2576582547181988, 0.22812606026564505, 0.3413180175344922, 0.5295976840588867, 0.26706886628814613, 1.0, 0.12778238736873807, 0.5540904680040618, 0.4636806830095284, 0.125]",2.75,0.49406279839803513,0.17965919941746733,True,True,True
knn,1.0,0.125,8.0,0.875,7,6,12,"[0.2576582547181988, 0.22812606026564505, 0.3413180175344922, 0.5295976840588867, 0.26706886628814613, 1.0, 0.12778238736873807, 0.5540904680040618, 0.4636806830095284, 0.125]",3.625,0.5468026742370393,0.15084211703090739,True,True,True
iforest,1.0,0.125,8.0,0.875,0,7,12,"[0.15710381900440898, 0.4482827286640595, 0.14284145314546878, 0.5436647989577581, 0.125, 0.18760209844916895, 0.33346386966221225, 0.15835278421764806, 0.22793847588081922, 1.0]",8.0,0.9812191912314385,0.12265239890392982,True,True,True
knn,1.0,0.125,8.0,0.875,1,7,12,"[0.15710381900440898, 0.4482827286640595, 0.14284145314546878, 0.5436647989577581, 0.125, 0.18760209844916895, 0.33346386966221225, 0.15835278421764806, 0.22793847588081922, 1.0]",1.0,1.0000000000000002,1.0000000000000002,True,False,True
knn,1.0,0.125,8.0,0.875,3,7,12,"[0.15710381900440898, 0.4482827286640595, 0.14284145314546878, 0.5436647989577581, 0.125, 0.18760209844916895, 0.33346386966221225, 0.15835278421764806, 0.22793847588081922, 1.0]",1.875,0.9505797897688032,0.506975887876695,True,True,True
knn,1.0,0.125,8.0,0.875,5,7,12,"[0.15710381900440898, 0.4482827286640595, 0.14284145314546878, 0.5436647989577581, 0.125, 0.18760209844916895, 0.33346386966221225, 0.15835278421764806, 0.22793847588081922, 1.0]",2.75,0.887746185338261,0.32281679466845853,True,True,True
knn,1.0,0.125,8.0,0.875,7,7,12,"[0.15710381900440898, 0.4482827286640595, 0.14284145314546878, 0.5436647989577581, 0.125, 0.18760209844916895, 0.33346386966221225, 0.15835278421764806, 0.22793847588081922, 1.0]",3.625,0.8608174977251716,0.23746689592418527,True,True,True
iforest,1.0,0.0625,16.0,0.9375,0,0,12,"[0.10615018919831501, 0.1496987428993281, 0.9362769895040296, 0.1477284661989652, 1.0, 0.07615925268826017, 0.7612585228432025, 0.21088715936088992, 0.0625, 0.22507776828008774]",16.0,0.21423607419242618,0.013389754637026637,True,True,True
knn,1.0,0.0625,16.0,0.9375,1,0,12,"[0.10615018919831501, 0.1496987428993281, 0.9362769895040296, 0.1477284661989652, 1.0, 0.07615925268826017, 0.7612585228432025, 0.21088715936088992, 0.0625, 0.22507776828008774]",1.0,0.22507776828008777,0.22507776828008777,True,True,True
knn,1.0,0.0625,16.0,0.9375,3,0,12,"[0.10615018919831501, 0.1496987428993281, 0.9362769895040296, 0.1477284661989652, 1.0, 0.07615925268826017, 0.7612585228432025, 0.21088715936088992, 0.0625, 0.22507776828008774]",1.9375,0.6206295325304224,0.3203249200157019,True,True,True
knn,1.0,0.0625,16.0,0.9375,5,0,12,"[0.10615018919831501, 0.1496987428993281, 0.9362769895040296, 0.1477284661989652, 1.0, 0.07615925268826017, 0.7612585228432025, 0.21088715936088992, 0.0625, 0.22507776828008774]",2.875,0.32952358849885494,0.1146169003474278,True,True,True
knn,1.0,0.0625,16.0,0.9375,7,0,12,"[0.10615018919831501, 0.1496987428993281, 0.9362769895040296, 0.1477284661989652, 1.0, 0.07615925268826017, 0.7612585228432025, 0.21088715936088992, 0.0625, 0.22507776828008774]",3.8125,0.11091043305911642,0.029091261130260046,True,True,True
iforest,1.0,0.0625,16.0,0.9375,0,1,12,"[0.4590834679427822, 1.0, 0.10504639903146824, 0.8259935260779475, 0.1776261018303077, 0.3620618677661841, 0.0625, 0.1297900483377831, 0.9930461822953667, 0.07308072740127787]",16.0,0.18699183534067576,0.011686989708792235,True,True,True
knn,1.0,0.0625,16.0,0.9375,1,1,12,"[0.4590834679427822, 1.0, 0.10504639903146824, 0.8259935260779475, 0.1776261018303077, 0.3620618677661841, 0.0625, 0.1297900483377831, 0.9930461822953667, 0.07308072740127787]",1.0,0.45908346794278226,0.45908346794278226,True,True,True
knn,1.0,0.0625,16.0,0.9375,3,1,12,"[0.4590834679427822, 1.0, 0.10504639903146824, 0.8259935260779475, 0.1776261018303077, 0.3620618677661841, 0.0625, 0.1297900483377831, 0.9930461822953667, 0.07308072740127787]",1.9375,0.13898588641559514,0.07173465105321039,True,True,True
knn,1.0,0.0625,16.0,0.9375,5,1,12,"[0.4590834679427822, 1.0, 0.10504639903146824, 0.8259935260779475, 0.1776261018303077, 0.3620618677661841, 0.0625, 0.1297900483377831, 0.9930461822953667, 0.07308072740127787]",2.875,1.1102230334139505e-16,3.861645333613741e-17,True,True,True
knn,1.0,0.0625,16.0,0.9375,7,1,12,"[0.4590834679427822, 1.0, 0.10504639903146824, 0.8259935260779475, 0.1776261018303077, 0.3620618677661841, 0.0625, 0.1297900483377831, 0.9930461822953667, 0.07308072740127787]",3.8125,2.2204460513182646e-16,5.824120790342989e-17,True,True,True
iforest,1.0,0.0625,16.0,0.9375,0,2,12,"[0.33465573878935456, 0.1623084649173406, 0.09871543173376915, 1.0, 0.29084010401513233, 0.5619368461100754, 0.07430856996890951, 0.0625, 0.23184895594944882, 0.9397206821153462]",16.0,0.9158144244623206,0.05723840152889504,True,True,True
knn,1.0,0.0625,16.0,0.9375,1,2,12,"[0.33465573878935456, 0.1623084649173406, 0.09871543173376915, 1.0, 0.29084010401513233, 0.5619368461100754, 0.07430856996890951, 0.0625, 0.23184895594944882, 0.9397206821153462]",1.0,0.9397206821153464,0.9397206821153464,True,False,True
knn,1.0,0.0625,16.0,0.9375,3,2,12,"[0.33465573878935456, 0.1623084649173406, 0.09871543173376915, 1.0, 0.29084010401513233, 0.5619368461100754, 0.07430856996890951, 0.0625, 0.23184895594944882, 0.9397206821153462]",1.9375,0.8379133385829624,0.43247140055894834,True,True,True
knn,1.0,0.0625,16.0,0.9375,5,2,12,"[0.33465573878935456, 0.1623084649173406, 0.09871543173376915, 1.0, 0.29084010401513233, 0.5619368461100754, 0.07430856996890951, 0.0625, 0.23184895594944882, 0.9397206821153462]",2.875,0.700214801409089,0.2435529744031614,True,True,True
knn,1.0,0.0625,16.0,0.9375,7,2,12,"[0.33465573878935456, 0.1623084649173406, 0.09871543173376915, 1.0, 0.29084010401513233, 0.5619368461100754, 0.07430856996890951, 0.0625, 0.23184895594944882, 0.9397206821153462]",3.8125,0.6412011426202857,0.16818390626105856,True,True,True
iforest,1.0,0.0625,16.0,0.9375,0,3,12,"[0.09725697433873175, 0.5721651662421966, 1.0, 0.3613399921413081, 0.0625, 0.3398156701265096, 0.09649328975178183, 0.12625693793011594, 0.06307108228869933, 0.42426046294624253]",16.0,0.3337916106162393,0.020861975663514956,True,True,True
knn,1.0,0.0625,16.0,0.9375,1,3,12,"[0.09725697433873175, 0.5721651662421966, 1.0, 0.3613399921413081, 0.0625, 0.3398156701265096, 0.09649328975178183, 0.12625693793011594, 0.06307108228869933, 0.42426046294624253]",1.0,0.5721651662421967,0.5721651662421967,True,True,True
knn,1.0,0.0625,16.0,0.9375,3,3,12,"[0.09725697433873175, 0.5721651662421966, 1.0, 0.3613399921413081, 0.0625, 0.3398156701265096, 0.09649328975178183, 0.12625693793011594, 0.06307108228869933, 0.42426046294624253]",1.9375,0.4916360639678216,0.25374764591887566,True,True,True
knn,1.0,0.0625,16.0,0.9375,5,3,12,"[0.09725697433873175, 0.5721651662421966, 1.0, 0.3613399921413081, 0.0625, 0.3398156701265096, 0.09649328975178183, 0.12625693793011594, 0.06307108228869933, 0.42426046294624253]",2.875,2.220446066827901e-16,7.723290667227482e-17,True,True,True
knn,1.0,0.0625,16.0,0.9375,7,3,12,"[0.09725697433873175, 0.5721651662421966, 1.0, 0.3613399921413081, 0.0625, 0.3398156701265096, 0.09649328975178183, 0.12625693793011594, 0.06307108228869933, 0.42426046294624253]",3.8125,2.2204460513182646e-16,5.824120790342989e-17,True,True,True
iforest,1.0,0.0625,16.0,0.9375,0,4,12,"[0.28342320583537284, 0.7543826776896447, 0.11270487073950203, 0.5204547503240391, 1.0, 0.2442242968949637, 0.06733225853204138, 0.0625, 0.10007856406018875, 0.2507889888236505]",16.0,0.18752462550332996,0.011720289093958123,True,True,True
knn,1.0,0.0625,16.0,0.9375,1,4,12,"[0.28342320583537284, 0.7543826776896447, 0.11270487073950203, 0.5204547503240391, 1.0, 0.2442242968949637, 0.06733225853204138, 0.0625, 0.10007856406018875, 0.2507889888236505]",1.0,0.5204547503240392,0.5204547503240392,True,True,True
knn,1.0,0.0625,16.0,0.9375,3,4,12,"[0.28342320583537284, 0.7543826776896447, 0.11270487073950203, 0.5204547503240391, 1.0, 0.2442242968949637, 0.06733225853204138, 0.0625, 0.10007856406018875, 0.2507889888236505]",1.9375,0.27746176067573003,0.14320607002618324,True,True,True
knn,1.0,0.0625,16.0,0.9375,5,4,12,"[0.28342320583537284, 0.7543826776896447, 0.11270487073950203, 0.5204547503240391, 1.0, 0.2442242968949637, 0.06733225853204138, 0.0625, 0.10007856406018875, 0.2507889888236505]",2.875,0.11333797509921618,0.039421904382336066,True,True,True
knn,1.0,0.0625,16.0,0.9375,7,4,12,"[0.28342320583537284, 0.7543826776896447, 0.11270487073950203, 0.5204547503240391, 1.0, 0.2442242968949637, 0.06733225853204138, 0.0625, 0.10007856406018875, 0.2507889888236505]",3.8125,3.330669076977397e-16,8.736181185514484e-17,True,True,True
iforest,1.0,0.0625,16.0,0.9375,0,5,12,"[0.30158969238450506, 0.10855639354346736, 1.0, 0.38071437190877855, 0.28493498288236163, 0.7087211802625684, 0.31185349765787385, 0.15052382976026893, 0.0625, 0.8014280502608732]",16.0,0.7491770771726264,0.04682356732328915,True,True,True
knn,1.0,0.0625,16.0,0.9375,1,5,12,"[0.30158969238450506, 0.10855639354346736, 1.0, 0.38071437190877855, 0.28493498288236163, 0.7087211802625684, 0.31185349765787385, 0.15052382976026893, 0.0625, 0.8014280502608732]",1.0,0.8014280502608729,0.8014280502608729,True,True,True
knn,1.0,0.0625,16.0,0.9375,3,5,12,"[0.30158969238450506, 0.10855639354346736, 1.0, 0.38071437190877855, 0.28493498288236163, 0.7087211802625684, 0.31185349765787385, 0.15052382976026893, 0.0625, 0.8014280502608732]",1.9375,0.6560240674101367,0.33859306705039316,True,True,True
knn,1.0,0.0625,16.0,0.9375,5,5,12,"[0.30158969238450506, 0.10855639354346736, 1.0, 0.38071437190877855, 0.28493498288236163, 0.7087211802625684, 0.31185349765787385, 0.15052382976026893, 0.0625, 0.8014280502608732]",2.875,0.42567951881725746,0.14806244132774174,True,True,True
knn,1.0,0.0625,16.0,0.9375,7,5,12,"[0.30158969238450506, 0.10855639354346736, 1.0, 0.38071437190877855, 0.28493498288236163, 0.7087211802625684, 0.31185349765787385, 0.15052382976026893, 0.0625, 0.8014280502608732]",3.8125,0.32696042656316643,0.08576011188542071,True,True,True
iforest,1.0,0.0625,16.0,0.9375,0,6,12,"[0.1639552826726602, 0.1393905078477397, 0.23853143412254094, 0.42847758051738766, 0.17198781685971032, 1.0, 0.06436177267828257, 0.4551007718801015, 0.35888778028019414, 0.0625]",16.0,0.1526463823274859,0.009540398895467869,True,True,True
knn,1.0,0.0625,16.0,0.9375,1,6,12,"[0.1639552826726602, 0.1393905078477397, 0.23853143412254094, 0.42847758051738766, 0.17198781685971032, 1.0, 0.06436177267828257, 0.4551007718801015, 0.35888778028019414, 0.0625]",1.0,0.358887780280194,0.358887780280194,True,True,True
knn,1.0,0.0625,16.0,0.9375,3,6,12,"[0.1639552826726602, 0.1393905078477397, 0.23853143412254094, 0.42847758051738766, 0.17198781685971032, 1.0, 0.06436177267828257, 0.4551007718801015, 0.35888778028019414, 0.0625]",1.9375,0.38138299084779576,0.1968428339859591,True,True,True
knn,1.0,0.0625,16.0,0.9375,5,6,12,"[0.1639552826726602, 0.1393905078477397, 0.23853143412254094, 0.42847758051738766, 0.17198781685971032, 1.0, 0.06436177267828257, 0.4551007718801015, 0.35888778028019414, 0.0625]",2.875,0.4525087758242632,0.15739435680843936,True,True,True
knn,1.0,0.0625,16.0,0.9375,7,6,12,"[0.1639552826726602, 0.1393905078477397, 0.23853143412254094, 0.42847758051738766, 0.17198781685971032, 1.0, 0.06436177267828257, 0.4551007718801015, 0.35888778028019414, 0.0625]",3.8125,0.5188589284278863,0.1360941451614128,True,True,True
iforest,1.0,0.0625,16.0,0.9375,0,7,12,"[0.08477132859824493, 0.3430857465428597, 0.07466877267247135, 0.44371926588371635, 0.0625, 0.10739488300896545, 0.231241111106441, 0.08567108587804771, 0.13923770403662225, 1.0]",16.0,0.9844489376136791,0.061528058600854946,True,True,True
knn,1.0,0.0625,16.0,0.9375,1,7,12,"[0.08477132859824493, 0.3430857465428597, 0.07466877267247135, 0.44371926588371635, 0.0625, 0.10739488300896545, 0.231241111106441, 0.08567108587804771, 0.13923770403662225, 1.0]",1.0,1.0000000000000002,1.0000000000000002,True,False,True
knn,1.0,0.0625,16.0,0.9375,3,7,12,"[0.08477132859824493, 0.3430857465428597, 0.07466877267247135, 0.44371926588371635, 0.0625, 0.10739488300896545, 0.231241111106441, 0.08567108587804771, 0.13923770403662225, 1.0]",1.9375,0.9505060300706477,0.49058375745581817,True,True,True
knn,1.0,0.0625,16.0,0.9375,5,7,12,"[0.08477132859824493, 0.3430857465428597, 0.07466877267247135, 0.44371926588371635, 0.0625, 0.10739488300896545, 0.231241111106441, 0.08567108587804771, 0.13923770403662225, 1.0]",2.875,0.8844883627504523,0.30764812617407034,True,True,True
knn,1.0,0.0625,16.0,0.9375,7,7,12,"[0.08477132859824493, 0.3430857465428597, 0.07466877267247135, 0.44371926588371635, 0.0625, 0.10739488300896545, 0.231241111106441, 0.08567108587804771, 0.13923770403662225, 1.0]",3.8125,0.8561950767560831,0.22457575783766115,True,True,True
iforest,1.0,0.03125,32.0,0.96875,0,0,12,"[0.06059000184445635, 0.09311565267105036, 0.9209911087732479, 0.09158624130249994, 1.0, 0.04000859887191752, 0.711074672408214, 0.1429100170911106, 0.03125, 0.15503000120673943]",32.0,0.13958184412809352,0.0043619326290029225,True,True,True
knn,1.0,0.03125,32.0,0.96875,1,0,12,"[0.06059000184445635, 0.09311565267105036, 0.9209911087732479, 0.09158624130249994, 1.0, 0.04000859887191752, 0.711074672408214, 0.1429100170911106, 0.03125, 0.15503000120673943]",1.0,0.15503000120673963,0.15503000120673963,True,True,True
knn,1.0,0.03125,32.0,0.96875,3,0,12,"[0.06059000184445635, 0.09311565267105036, 0.9209911087732479, 0.09158624130249994, 1.0, 0.04000859887191752, 0.711074672408214, 0.1429100170911106, 0.03125, 0.15503000120673943]",1.96875,0.6299559783394283,0.31997763979145566,True,True,True
knn,1.0,0.03125,32.0,0.96875,5,0,12,"[0.06059000184445635, 0.09311565267105036, 0.9209911087732479, 0.09158624130249994, 1.0, 0.04000859887191752, 0.711074672408214, 0.1429100170911106, 0.03125, 0.15503000120673943]",2.9375,0.3589179537513983,0.12218483531962494,True,True,True
knn,1.0,0.03125,32.0,0.96875,7,0,12,"[0.06059000184445635, 0.09311565267105036, 0.9209911087732479, 0.09158624130249994, 1.0, 0.04000859887191752, 0.711074672408214, 0.1429100170911106, 0.03125, 0.15503000120673943]",3.90625,0.030760112737062757,0.007874588860688066,True,True,True
iforest,1.0,0.03125,32.0,0.96875,0,1,12,"[0.3778892757363062, 1.0, 0.05980348072490465, 0.787446041813123, 0.11531438340579672, 0.28085262303728303, 0.03125, 0.07790256237105866, 0.9913152966037978, 0.03799737340613393]",32.0,0.17591147690913733,0.005497233653410542,True,True,True
knn,1.0,0.03125,32.0,0.96875,1,1,12,"[0.3778892757363062, 1.0, 0.05980348072490465, 0.787446041813123, 0.11531438340579672, 0.28085262303728303, 0.03125, 0.07790256237105866, 0.9913152966037978, 0.03799737340613393]",1.0,0.37788927573630626,0.37788927573630626,True,True,True
knn,1.0,0.03125,32.0,0.96875,3,1,12,"[0.3778892757363062, 1.0, 0.05980348072490465, 0.787446041813123, 0.11531438340579672, 0.28085262303728303, 0.03125, 0.07790256237105866, 0.9913152966037978, 0.03799737340613393]",1.96875,0.13958224144148115,0.07089891628773645,True,True,True
knn,1.0,0.03125,32.0,0.96875,5,1,12,"[0.3778892757363062, 1.0, 0.05980348072490465, 0.787446041813123, 0.11531438340579672, 0.28085262303728303, 0.03125, 0.07790256237105866, 0.9913152966037978, 0.03799737340613393]",2.9375,1.1102230502160567e-16,3.7794827241397676e-17,True,True,True
knn,1.0,0.03125,32.0,0.96875,7,1,12,"[0.3778892757363062, 1.0, 0.05980348072490465, 0.787446041813123, 0.11531438340579672, 0.28085262303728303, 0.03125, 0.07790256237105866, 0.9913152966037978, 0.03799737340613393]",3.90625,3.3306691109047267e-16,8.5265129239161e-17,True,True,True
iforest,1.0,0.03125,32.0,0.96875,0,2,12,"[0.2545351976973603, 0.10302116645636117, 0.055332629813005456, 1.0, 0.21358358118664725, 0.4865297339717881, 0.03879704329838667, 0.03125, 0.16088161997523645, 0.9252273913437131]",32.0,0.8992332143652337,0.028101037948913554,True,True,True
knn,1.0,0.03125,32.0,0.96875,1,2,12,"[0.2545351976973603, 0.10302116645636117, 0.055332629813005456, 1.0, 0.21358358118664725, 0.4865297339717881, 0.03879704329838667, 0.03125, 0.16088161997523645, 0.9252273913437131]",1.0,0.9252273913437131,0.9252273913437131,True,False,True
knn,1.0,0.03125,32.0,0.96875,3,2,12,"[0.2545351976973603, 0.10302116645636117, 0.055332629813005456, 1.0, 0.21358358118664725, 0.4865297339717881, 0.03879704329838667, 0.03125, 0.16088161997523645, 0.9252273913437131]",1.96875,0.8388679507101767,0.42609165750358186,True,True,True
knn,1.0,0.03125,32.0,0.96875,5,2,12,"[0.2545351976973603, 0.10302116645636117, 0.055332629813005456, 1.0, 0.21358358118664725, 0.4865297339717881, 0.03879704329838667, 0.03125, 0.16088161997523645, 0.9252273913437131]",2.9375,0.6979335414807073,0.23759439709981525,True,True,True
knn,1.0,0.03125,32.0,0.96875,7,2,12,"[0.2545351976973603, 0.10302116645636117, 0.055332629813005456, 1.0, 0.21358358118664725, 0.4865297339717881, 0.03879704329838667, 0.03125, 0.16088161997523645, 0.9252273913437131]",3.90625,0.6375330803823636,0.16320846857788507,True,True,True
iforest,1.0,0.03125,32.0,0.96875,0,3,12,"[0.05431264374335171, 0.4976245154489475, 1.0, 0.28015284584524064, 0.03125, 0.25945034489405167, 0.05378007349090525, 0.07526084071710996, 0.03160733317161724, 0.3424054762260392]",32.0,0.25636395126156497,0.008011373476923905,True,True,True
knn,1.0,0.03125,32.0,0.96875,1,3,12,"[0.05431264374335171, 0.4976245154489475, 1.0, 0.28015284584524064, 0.03125, 0.25945034489405167, 0.05378007349090525, 0.07526084071710996, 0.03160733317161724, 0.3424054762260392]",1.0,0.4976245154489476,0.4976245154489476,True,True,True
knn,1.0,0.03125,32.0,0.96875,3,3,12,"[0.05431264374335171, 0.4976245154489475, 1.0, 0.28015284584524064, 0.03125, 0.25945034489405167, 0.05378007349090525, 0.07526084071710996, 0.03160733317161724, 0.3424054762260392]",1.96875,0.48110395723519866,0.24437026399248185,True,True,True
knn,1.0,0.03125,32.0,0.96875,5,3,12,"[0.05431264374335171, 0.4976245154489475, 1.0, 0.28015284584524064, 0.03125, 0.25945034489405167, 0.05378007349090525, 0.07526084071710996, 0.03160733317161724, 0.3424054762260392]",2.9375,1.1102230502160567e-16,3.7794827241397676e-17,True,True,True
knn,1.0,0.03125,32.0,0.96875,7,3,12,"[0.05431264374335171, 0.4976245154489475, 1.0, 0.28015284584524064, 0.03125, 0.25945034489405167, 0.05378007349090525, 0.07526084071710996, 0.03160733317161724, 0.3424054762260392]",3.90625,3.3306691109047267e-16,8.5265129239161e-17,True,True,True
iforest,1.0,0.03125,32.0,0.96875,0,4,12,"[0.2067970111624148, 0.7030555392865089, 0.0653022817784724, 0.44205745699430155, 1.0, 0.1716864754001213, 0.03429880411174565, 0.03125, 0.05628936271347157, 0.17747434437445042]",32.0,0.14082993363907975,0.004400935426221242,True,True,True
knn,1.0,0.03125,32.0,0.96875,1,4,12,"[0.2067970111624148, 0.7030555392865089, 0.0653022817784724, 0.44205745699430155, 1.0, 0.1716864754001213, 0.03429880411174565, 0.03125, 0.05628936271347157, 0.17747434437445042]",1.0,0.4420574569943016,0.4420574569943016,True,True,True
knn,1.0,0.03125,32.0,0.96875,3,4,12,"[0.2067970111624148, 0.7030555392865089, 0.0653022817784724, 0.44205745699430155, 1.0, 0.1716864754001213, 0.03429880411174565, 0.03125, 0.05628936271347157, 0.17747434437445042]",1.96875,0.2775892113852458,0.14099769467187087,True,True,True
knn,1.0,0.03125,32.0,0.96875,5,4,12,"[0.2067970111624148, 0.7030555392865089, 0.0653022817784724, 0.44205745699430155, 1.0, 0.1716864754001213, 0.03429880411174565, 0.03125, 0.05628936271347157, 0.17747434437445042]",2.9375,0.1636144535237263,0.055698537369779165,True,True,True
knn,1.0,0.03125,32.0,0.96875,7,4,12,"[0.2067970111624148, 0.7030555392865089, 0.0653022817784724, 0.44205745699430155, 1.0, 0.1716864754001213, 0.03429880411174565, 0.03125, 0.05628936271347157, 0.17747434437445042]",3.90625,2.2204460739364845e-16,5.6843419492774e-17,True,True,True
iforest,1.0,0.03125,32.0,0.96875,0,5,12,"[0.22349644416186457, 0.06231165100895236, 1.0, 0.2990536377253016, 0.2081767462082975, 0.6502708182389213, 0.23304418684182274, 0.09375761998804936, 0.03125, 0.7582818719185955]",32.0,0.7022668650783702,0.02194583953369907,True,True,True
