distribution,forest_seed,trees,mse,mae,max_abs_error,hoeffding_epsilon_alpha_0_05,hoeffding_violations
normal,0,100,0.10086673994164656,0.2512346802952671,0.7632215742599744,13.581015157406195,0
normal,0,300,0.01831985628879332,0.10901164377941612,0.3324840280771113,7.841002756996855,0
normal,0,1000,0.0026935783837796624,0.043119727322698795,0.13911002718494458,4.294694083467376,0
normal,0,3000,0.0011874087733544012,0.026914156739068905,0.11711002718494434,2.4795427851769825,0
normal,0,10000,0.000381858404193966,0.015294023900271654,0.05521002718494472,1.3581015157406195,0
normal,0,30000,9.840372708207071e-05,0.008076449643084302,0.024179027311189927,0.7841002756996853,0
normal,1,100,0.027677534961682956,0.1354043408328962,0.3737584136472911,13.581015157406195,0
normal,1,300,0.009415353712127143,0.08011145178753999,0.21522330614838836,7.841002756996855,0
normal,1,1000,0.006718912645972542,0.06720054476174972,0.22496598750804253,4.294694083467376,0
normal,1,3000,0.0021381900560322655,0.03890446024706438,0.09433253061108715,2.4795427851769825,0
normal,1,10000,0.0008085075667091483,0.0235443825512026,0.05939020233305303,1.3581015157406195,0
normal,1,30000,0.00019375232978583584,0.010828346015648593,0.03818421397494909,0.7841002756996853,0
normal,2,100,0.02505635546841413,0.12805494897319342,0.38485858832286013,13.581015157406195,0
normal,2,300,0.015967548113210172,0.10657969424589614,0.2842443810652746,7.841002756996855,0
normal,2,1000,0.004640928856833447,0.055348774654221874,0.17007824649222236,4.294694083467376,0
normal,2,3000,0.0009477047597795126,0.02365015393432709,0.08348402807711253,2.4795427851769825,0
normal,2,10000,0.00039911945130442083,0.01565143286353446,0.05921088304390043,1.3581015157406195,0
normal,2,30000,0.00012168141624807036,0.00899098934887526,0.025876288609267384,0.7841002756996853,0
normal,3,100,0.0413678587520507,0.17377385004296272,0.3976976036725475,13.581015157406195,0
normal,3,300,0.015542057758786657,0.09490951864467263,0.35436427033921447,7.841002756996855,0
normal,3,1000,0.002873581428041797,0.04110779143897246,0.15447724277207087,4.294694083467376,0
normal,3,3000,0.0009526217015708412,0.023985203285167664,0.0858821119090507,2.4795427851769825,0
normal,3,10000,0.00025536136153075836,0.013301197280007022,0.034615142820181966,1.3581015157406195,0
normal,3,30000,6.66813351094631e-05,0.006367389378003923,0.025481809486848306,0.7841002756996853,0
normal,4,100,0.034934182352824424,0.15658900202438694,0.40156102729574883,13.581015157406195,0
normal,4,300,0.020337449218361697,0.12044274472429364,0.2910309370058819,7.841002756996855,0
normal,4,1000,0.005208855023349021,0.05588142271557928,0.19369760367254862,4.294694083467376,0
normal,4,3000,0.0014494479731535235,0.02856690554469476,0.11114390943873786,2.4795427851769825,0
normal,4,10000,0.0004738180503572281,0.017034970085431648,0.05679256124069987,1.3581015157406195,0
normal,4,30000,0.00021381356356144806,0.011714169285943078,0.034891521562366634,0.7841002756996853,0
normal,5,100,0.04847026336895741,0.1788376263381049,0.5189217535077777,13.581015157406195,0
normal,5,300,0.017513605198334267,0.11046395092957374,0.2837975991563564,7.841002756996855,0
normal,5,1000,0.003957470824674372,0.05074268138351777,0.14710850956042343,4.294694083467376,0
normal,5,3000,0.0010548708392384759,0.026480074675324917,0.076868407579334,2.4795427851769825,0
normal,5,10000,0.0005191883858672319,0.01893877077480781,0.058435074246000696,1.3581015157406195,0
normal,5,30000,0.00014014262156678125,0.00966935240418736,0.02999192165619391,0.7841002756996853,0
uniform,0,100,0.05140260090559763,0.1798066738477408,0.5300704931284601,13.581015157406195,0
uniform,0,300,0.014631111378882032,0.09988259892150433,0.2685192022611851,7.841002756996855,0
uniform,0,1000,0.004532525434979222,0.05365490794603617,0.18316454237714908,4.294694083467376,0
uniform,0,3000,0.001893618971228139,0.03629593587626747,0.10270480442540197,2.4795427851769825,0
uniform,0,10000,0.0006044741442676981,0.02095776387917633,0.05009568108000284,1.3581015157406195,0
uniform,0,30000,0.00023320413170713954,0.0131641091266322,0.03141677414706834,0.7841002756996853,0
uniform,1,100,0.05551491335416788,0.1887016349031637,0.5402395752131053,13.581015157406195,0
uniform,1,300,0.023073719450242024,0.1191695295066852,0.36433010872525173,7.841002756996855,0
uniform,1,1000,0.005578671737605925,0.05836326145860671,0.19228834821269913,4.294694083467376,0
uniform,1,3000,0.0022404327264992354,0.03902663316310139,0.11365104618218247,2.4795427851769825,0
uniform,1,10000,0.0007810734916767329,0.023816734369843166,0.06006199887248087,1.3581015157406195,0
uniform,1,30000,0.00023012270935516839,0.012796996214128943,0.03516372498396869,0.7841002756996853,0
uniform,2,100,0.05965151696297605,0.1956950844629711,0.6700704931284598,13.581015157406195,0
uniform,2,300,0.018831598367652615,0.11140668099667465,0.29133103320894627,7.841002756996855,0
uniform,2,1000,0.0031322552877758427,0.04601883783623244,0.1330888772469816,4.294694083467376,0
uniform,2,3000,0.0007129482132898298,0.02176557984669822,0.060318598240963084,2.4795427851769825,0
uniform,2,10000,0.00041625673455560427,0.016141964604535673,0.04993800112751856,1.3581015157406195,0
uniform,2,30000,0.00013318865025333903,0.009425804197945755,0.028150344411887573,0.7841002756996853,0
