n1,n0,kappa,delta,seed,large_gap_position,separation_multiplier,predicted_scale,separation,anomaly_gap_min,anomaly_gap_max,normal_gap_min,normal_gap_max,assumption_4_2,n1_over_n0,anomaly_witness_index,anomaly_witness_depth,normal_witness_index,normal_witness_depth,failure_margin,anomaly_limit_depth,normal_limit_depth,infinite_failure_margin
5,25,2500.0,2499.0,0,0,1.0,62500.0,62500.0,1.0,2500.0,1.0,2500.0,True,0.2,2,4.538382285986914,5,2.04766387666003,-2.4907184093268837,4.499600159936025,2.0091561148004367,-2.4904440451355887
5,25,2500.0,2499.0,0,0,10.0,62500.0,625000.0,1.0,2500.0,1.0,2500.0,True,0.2,2,4.503617663561826,5,2.013144959482871,-2.490472704078955,4.499600159936025,2.0091561148004367,-2.4904440451355887
5,25,2500.0,2499.0,0,0,1000.0,62500.0,62500000.0,1.0,2500.0,1.0,2500.0,True,0.2,2,4.499640494320009,5,2.009196161198579,-2.49044433312143,4.499600159936025,2.0091561148004367,-2.4904440451355887
5,25,2500.0,2499.0,1,1,1.0,62500.0,62500.0,1.0,2500.0,1.0,2500.0,True,0.2,3,4.038798562604931,5,2.0476638530038134,-1.991134709601118,3.999999840191821,2.0091561148004367,-1.9908437253913842
5,25,2500.0,2499.0,1,1,10.0,62500.0,625000.0,1.0,2500.0,1.0,2500.0,True,0.2,3,4.004018950217427,5,2.013144959457485,-1.9908739907599418,3.999999840191821,2.0091561148004367,-1.9908437253913842
5,25,2500.0,2499.0,1,1,1000.0,62500.0,62500000.0,1.0,2500.0,1.0,2500.0,True,0.2,3,4.000040190576449,5,2.009196161198579,-1.99084402937787,3.999999840191821,2.0091561148004367,-1.9908437253913842
5,25,2500.0,2499.0,2,2,1.0,62500.0,62500.0,1.0,2500.0,1.0,2500.0,True,0.2,1,3.998885326604162,5,2.0476638293464906,-1.9512214972576714,3.999999840191821,2.0091561148004367,-1.9908437253913842
5,25,2500.0,2499.0,2,2,10.0,62500.0,625000.0,1.0,2500.0,1.0,2500.0,True,0.2,1,4.000017350400039,5,2.0131449594320987,-1.9868723909679407,3.999999840191821,2.0091561148004367,-1.9908437253913842
5,25,2500.0,2499.0,2,2,1000.0,62500.0,62500000.0,1.0,2500.0,1.0,2500.0,True,0.2,1,4.000000174563775,5,2.009196161198579,-1.9908040133651959,3.999999840191821,2.0091561148004367,-1.9908437253913842
5,25,2500.0,2499.0,3,3,1.0,62500.0,62500.0,1.0,2500.0,1.0,2500.0,True,0.2,2,4.498500992283502,5,2.0476638056880616,-2.450837186595441,4.499600159936025,2.0091561148004367,-2.4904440451355887
5,25,2500.0,2499.0,3,3,10.0,62500.0,625000.0,1.0,2500.0,1.0,2500.0,True,0.2,2,4.49961926376978,5,2.013144959406713,-2.4864743043630675,4.499600159936025,2.0091561148004367,-2.4904440451355887
